NAME,RATING,REVIEW COUNT,PRICE,DISCOUNTED PRICE,PRODUCT ID
UGG&reg; Brody 5-Piece Reversible Comforter Set,4.8,73,$99.99 - $149.99,$99.99 - $149.99,5696790
UGG&reg; Avery 3-Piece Reversible Comforter Set,4.5,1876,$34.99 - $129.99,$34.99 - $129.99,5321070
UGG&reg; Devon 3-Piece Reversible Comforter Set,3.6,571,$27.99 - $129.99,$27.99 - $129.99,5317428
Madison Park&reg; Odette Jacquard 8-Piece Reversible Comforter Set,4.5,108,$185.99 - $210.99,$167.99 - $210.99,5208071
Madison Park&reg; Signature Essence 8-Piece Comforter Set,4.9,9,$335.99 - $390.99,$335.99 - $390.99,5546322
UGG&reg; Corey 3-Piece Reversible Comforter Set,4.6,43,$99.99 - $149.99,$99.99 - $149.99,5676541
All Season Down Alternative 3-Piece Reversible Comforter Set,4.6,267,$65.99 - $79.99,$65.99 - $79.99,5230952
Truly Calm&reg; Antimicrobial Seersucker 7-Piece Reversible Comforter Set,4.6,20,$89.99 - $109.99,$89.99 - $109.99,5528876
Madison Park&reg; Essentials Joella 24-Piece Comforter Set,4.1,68,$214.99 - $238.99,$183.99 - $238.99,3333802
Nestwell&trade; Medium Warmth Down Alternative Comforter,4.3,38,$120.00 - $180.00,$120.00 - $180.00,5547367
Faux Fur Comforter Set,4.5,17,$60.00,$60.00,5757704
Madison Park Essentials Sofia Reversible Comforter Set,4.2,52,$80.99 - $113.99,$71.99 - $113.99,5487191
Madison Park Essentials Brystol 24-Piece Comforter Set,4.1,140,$204.99 - $227.99,$204.99 - $227.99,3292700
UGG&reg; Madison Comforter Set,4.5,10,$199.99 - $289.99,$199.99 - $289.99,5704512
Truly Soft Pleated 3-Piece Comforter Set,3.9,74,$59.99 - $79.99,$59.99 - $79.99,3328569
Madison Park Serene 7-Piece Comforter Set,4.2,274,$142.99 - $169.99,$84.99 - $166.99,3279470
Truly Soft Everyday 3-Piece Reversible Comforter Set,4.2,97,$39.99 - $69.99,$39.99 - $69.99,3312942
Madison Park&reg; Laurel 7-Piece Comforter Set,4.0,296,$123.99 - $159.99,$64.99 - $155.99,3278944
Madison Park&reg; Amherst 7-Piece Comforter Set,4.2,419,$139.99 - $179.99,$139.99 - $177.99,3286586
Faux Fur 3-Piece Comforter Set,4.8,28,$60.00,$60.00,5707217
Studio 3B&trade; Modal Jersey Comforter Set,3.5,30,$100.00 - $140.00,$100.00 - $140.00,5643653
