NAME,RATING,REVIEW COUNT,PRICE,DISCOUNTED PRICE,PRODUCT ID
The Threadery&trade; Softest Bath Towel Collection,4.7,15,$11.25 - $96.00,$11.25 - $96.00,5666447
The Threadery&trade; Turkish Classic Bath Towel Collection,4.4,15,$11.25 - $33.75,$11.25 - $33.75,5756417
Studio 3B&trade; Geometric Jacquard Bath Towel,0.0,0,$16.00,$16.00,5689730
Madison Park&reg; 6-Piece Signature Turkish Cotton Bath Towel Set,4.2,184,$74.99 Set,$74.99 Set,5017245
Everhome&trade; Egyptian Cotton Bath Towel Collection,3.7,51,$10.00 - $35.00,$10.00 - $35.00,5648226
Wamsutta&reg; Classic Turkish Bath Towel Collection,4.2,437,$11.00 - $40.00,$11.00 - $40.00,5332059
Nestwell&reg; Hygro Cotton Bath Towel Collection,3.9,548,$7.00 - $55.00,$7.00 - $55.00,5545420
Simply Essential&trade; Cotton Bath Towel Collection,4.0,179,$3.00 - $5.00,$3.00 - $5.00,5549686
Simply Essential&trade; Cotton Bath Towel Collection,4.2,29,$5.00 - $10.00,$5.00 - $10.00,5672118
Haven&trade; Organic Cotton Waffle &amp; Terry Bath Towel Collection,4.2,132,$10.00 - $42.00,$10.00 - $42.00,5535445
Therapedic&reg; Solid Cotton Bamboo Bath Towel Collection,4.3,138,$8.99 - $27.49,$8.99 - $27.49,5652270
Haven&trade; Organic Cotton Terry Bath Towel Collection,3.7,213,$10.00 - $76.00,$5.99 - $76.00,5584552
Simply Essential&trade; Solid 12-Piece Bath Towel Set,3.9,12,$35.00 Set,$35.00 Set,5685354
Haven&trade; Wave Organic Cotton Bath Towel Collection,4.1,66,$10.00 - $76.00,$10.00 - $76.00,5586011
Market & Place Harper Cotton Waffle 6-Piece Bath Towel Set in Dark Grey,0.0,0,$54.99 - $59.99,$54.99,7058212
Simply Essential&trade; Solid 6-Piece Bath Towel Set,3.9,87,$16.00 - $18.00 Set,$16.00 - $18.00 Set,5685350
RWB Fields&reg; Americana 6-Piece Bath Towel Set,4.3,11,$59.99,$59.99,5712831
"Standard Textile Home - Plush Towels (Lynova), Clay, Bath Towel Set of 2",4.7,71,$31.50 - $91.50,$31.50 - $91.50,7014688
Simply Essential&trade; Solid 8-Piece Washcloth Set,4.4,102,$10.00 Set,$10.00 Set,5685349
Classic Turkish Towels Genuine Cotton Soft Absorbent Brampton Bath Towels 2 Piece Set,0.0,0,$81.99,$32.99,7055503
Nestwell&trade; Hygro Cotton Fashion Bath Towel Collection,4.4,107,$3.49 - $55.00,$3.49 - $55.00,5546315
Haven&trade; Turkish Cotton Bath Towel Collection,3.9,68,$12.00 - $40.00,$12.00 - $40.00,5540014
The Threadery&trade; Linen Cuff Towel Collection,0.0,0,$14.00 - $50.00,$14.00 - $50.00,5686217
"Classic Turkish Towels Genuine Cotton Soft Absorbent Luxury Madison 8 Piece Set With 2 Bath Towels, 2 Hand Towels, 2 Washcloths, and 2 Bath Mats",0.0,0,$59.99,$59.99,7044727
Peanuts&trade; Autumn Leaves Towel,4.8,10,$9.99,$9.99,5610355
Haven&trade; Heathered Pebble Bath Towel Collection,4.1,52,$8.00 - $15.00,$2.40 - $4.50,5540560
Classic Turkish Towels JUMBO BATH SHEET 40X80,5.0,2,$49.99 - $51.99,$35.99 - $39.99,7044716
Bee &amp; Willow&trade; Triple Stripe Bath Towel,4.7,19,$13.00 - $19.00,$6.49 - $9.49,5533150
Market & Place Park Avenue Cotton Textured 6-Piece Bath Towel Set in Dusty Rose,0.0,0,$49.99,$39.99,7058214
Simply Essential&trade; Solid Cotton Hand Towels (Set of 4),4.2,70,$10.00 - $10.00 Set,$5.99 - $10.00 Set,5685348
Market & Place Turkish Cotton 6-Piece Bath Towel Set in White / Blue,2.0,1,$69.99,$59.99,7058205
American Traditions Bath Towel,3.8,20,$9.99,$9.99,5510598
StayFresh&trade; Washcloth,4.4,14,$5.99,$5.99,5523591
Haven&trade; Organic Cotton Flatweave Bath Towel Collection,4.2,16,$15.00 - $21.00,$4.50 - $6.30,5536261
Avanti &quot;Love Being Bored with You&quot; Hand Towels in White (Set of 2),0.0,0,$9.99 Set,$9.99 Set,5515347
Bee &amp; Willow&trade; Cottage Ruffle Bath Towel in Coconut milk,4.3,15,$13.00 - $19.00,$6.49 - $9.49,5533151
